id,ship_name,mmsi,sog,cog,heading,nav_status,lon,lat,width,length,ship_type,p99_speed,iso_flag,iso_anomaly,p99_anomaly,speed_anomaly
5894,NDEAVOR,209852000,0.0,36.9,91,3,-3.57697,53.46296,30,100,90,0.0,1,False,False,False
5899,VALOYTIND,258031050,0.0,15.3,65,8,8.03821,63.10434,7,15,99,0.0,1,False,False,False
5903,MAERSK HOUSTON,563078300,15.9,314.3,315,0,32.21803,31.5505,54,353,70,15.898,-1,True,True,True
5924,SYROS WARRIOR,241406000,9.8,206.9,208,0,1.83218,51.32427,42,237,89,9.8,1,False,False,False
5929,FIREFLY,319115500,0.0,23.9,196,0,-80.17939,25.78616,8,40,37,102.3,1,False,False,False
5932,MODENA,244670573,4.1,200.5,511,0,5.82,51.85139,10,105,79,4.023,1,False,True,True
5970,GAASPERLAND,244700268,0.0,360.0,511,15,6.18206,52.69894,8,60,80,0.0,1,False,False,False
5974,RONJA BOROY,257343000,0.0,264.8,23,15,14.38743,67.29328,23,91,30,0.0,1,False,False,False
5988,BEANTRA,244615771,0.0,0.0,511,8,5.70925,52.84068,6,36,69,0.0,1,False,False,False
5990,PELAGUS,205540690,9.6,272.1,511,0,5.6292,51.89982,24,110,79,9.596,1,False,True,True
5999,KALLE,230044260,0.0,0.0,511,0,24.98396,60.14587,5,15,52,0.0,1,False,False,False
6015,ECODELTA,244110640,10.1,118.1,117,0,4.11652,51.97514,21,134,33,10.2,1,False,False,False
6115,SPIRIT,377901203,0.2,98.6,511,0,-63.08393,18.08042,7,30,70,0.2,1,False,False,False
6139,ARKLOW ROVER,250014194,9.9,215.8,218,0,10.39077,65.63683,15,105,79,9.801,1,False,True,True
6169,ROSE,244615958,0.0,360.0,511,15,4.85906,52.38267,2,7,69,0.0,1,False,False,False
6170,TAK-11,277541000,0.0,241.1,137,0,21.12479,55.70187,10,28,52,8.568,1,False,False,False
6186,OLIVIA RIBAU,263434000,0.0,360.0,511,7,-8.52672,37.13276,7,24,30,3.089,1,False,False,False
6190,PROVIDER,367094360,11.5,142.1,511,0,-122.36566,37.76125,6,22,99,11.385,1,False,True,True
6196,AMERICAN FREEDOM,369042000,14.3,271.5,273,0,-124.98862,46.18165,32,183,80,14.3,1,False,False,False
6203,PACIFIC GARNET,538009203,0.0,146.4,237,1,10.71635,57.67414,44,250,80,12.939,1,False,False,False
6208,MANU PEKKA,212701000,0.1,253.4,211,3,3.04053,51.33091,15,48,33,0.1,1,False,False,False
6358,BRONCO,636020932,7.5,72.3,73,0,-58.94237,-34.15076,27,169,70,11.471999999999998,1,False,False,False
6363,SHENG HUA WAN,413527980,8.4,288.2,290,0,-9.12276,38.68197,20,115,80,8.392,1,False,True,True
6376,RUSSIAN STAR,244150198,0.0,360.0,511,0,4.88675,52.40626,4,9,69,0.47300000000000003,1,False,False,False
6377,HAFNIA GALATEA,563068500,0.0,148.7,231,1,-123.35338,48.33464,44,250,80,12.939,1,False,False,False
6394,PROCYON,244820146,12.7,245.7,244,0,3.90832,52.03746,13,81,50,12.7,1,False,False,False
6400,NORFOLK,563194200,1.3,290.0,189,0,176.64887,-37.27465,17,80,70,1.298,1,False,True,True
6402,DUKE CHEMIST,352319000,13.2,62.6,57,0,136.06938,33.44084,14,91,82,13.396,1,False,False,False
6416,MULTRATUG 22,207290000,0.0,3.1,137,0,4.39894,51.23683,6,19,52,0.0,1,False,False,False
6417,SUNRISE,538009432,8.0,355.8,355,0,-122.87995,46.0478,32,225,70,7.984,1,False,True,True
6434,BILLE,211810500,0.0,360.0,511,0,9.96538,53.54554,5,20,60,0.0,1,False,False,False
6439,BELLA DONNA,244730113,0.0,360.0,511,15,4.65167,51.85395,4,20,37,0.0,1,False,False,False
6443,SUAT KARABEKIR,351630000,0.0,98.9,36,1,28.92325,40.97129,17,100,70,11.996,1,False,False,False
6445,SC RUBY,244349000,0.0,242.7,286,5,6.81992,53.44596,6,23,53,0.0,1,False,False,False
6447,VARIANT,244700055,0.0,205.6,511,0,4.45226,51.90897,7,55,79,0.08499999999999996,1,False,False,False
6448,OLD QUEEN,244780563,0.0,360.0,511,0,4.91657,52.33495,4,17,69,0.0,1,False,False,False
6458,PINTO,367656420,0.0,237.5,511,12,-93.86184,29.96324,7,20,57,0.0,1,False,False,False
6473,RHONE,209097000,0.0,0.0,511,0,5.14013,52.3872,12,48,33,0.0,1,False,False,False
6517,ROOS,244870618,0.0,360.0,511,5,4.92009,52.36858,4,15,69,0.0,1,False,False,False
5514,ST JOSEPH,366998040,5.6,217.0,219,12,-93.92244,29.88017,17,205,57,5.6,1,False,False,False
5520,HAFNIA SOYA,566583000,0.0,174.2,294,1,18.42645,-33.82248,27,184,80,0.0,1,False,False,False
5523,RIGEL,244670846,0.0,0.0,511,0,4.97869,52.37063,8,80,79,0.0,1,False,False,False
